ts_start,ts_end,price
2026-01-08 01:30:00,2026-01-08 01:45:00,0.087610
2026-01-08 01:15:00,2026-01-08 01:30:00,0.101530
2026-01-08 01:00:00,2026-01-08 01:15:00,0.131430
2026-01-08 00:45:00,2026-01-08 01:00:00,0.084100
2026-01-08 00:30:00,2026-01-08 00:45:00,0.111290
2026-01-08 00:15:00,2026-01-08 00:30:00,0.134830
2026-01-08 00:00:00,2026-01-08 00:15:00,0.126930
2026-01-07 23:45:00,2026-01-08 00:00:00,0.119160
2026-01-07 23:30:00,2026-01-07 23:45:00,0.118980
2026-01-07 23:15:00,2026-01-07 23:30:00,0.119140
2026-01-07 23:00:00,2026-01-07 23:15:00,0.132590
2026-01-07 22:45:00,2026-01-07 23:00:00,0.118850
2026-01-07 22:30:00,2026-01-07 22:45:00,0.128170
2026-01-07 22:15:00,2026-01-07 22:30:00,0.151680
2026-01-07 22:00:00,2026-01-07 22:15:00,0.164880
2026-01-07 21:45:00,2026-01-07 22:00:00,0.154980
2026-01-07 21:30:00,2026-01-07 21:45:00,0.170600
2026-01-07 21:15:00,2026-01-07 21:30:00,0.226330
2026-01-07 21:00:00,2026-01-07 21:15:00,0.287210
2026-01-07 20:45:00,2026-01-07 21:00:00,0.202210
2026-01-07 20:30:00,2026-01-07 20:45:00,0.206390
2026-01-07 20:15:00,2026-01-07 20:30:00,0.250020
2026-01-07 20:00:00,2026-01-07 20:15:00,0.258000
2026-01-07 19:45:00,2026-01-07 20:00:00,0.216480
2026-01-07 19:30:00,2026-01-07 19:45:00,0.216490
2026-01-07 19:15:00,2026-01-07 19:30:00,0.240000
2026-01-07 19:00:00,2026-01-07 19:15:00,0.276490
2026-01-07 18:45:00,2026-01-07 19:00:00,0.249180
2026-01-07 18:30:00,2026-01-07 18:45:00,0.250050
2026-01-07 18:15:00,2026-01-07 18:30:00,0.312870
2026-01-07 18:00:00,2026-01-07 18:15:00,0.270080
2026-01-07 17:45:00,2026-01-07 18:00:00,0.323710
2026-01-07 17:30:00,2026-01-07 17:45:00,0.288000
2026-01-07 17:15:00,2026-01-07 17:30:00,0.321590
2026-01-07 17:00:00,2026-01-07 17:15:00,0.216530
